id;head_ru_de;transliteration_de;literal_de;meaning_de;equivalents_de;transparency_de;head_ru_eng;transliteration_eng;literal_eng;meaning_eng;equivalents_eng;transparency_eng
230;КОШКИ СКРЕБУТ НА ДУШЕ;koschki ßkrebut na dusche;Katzen scharren an der Seele.;"Innerlich erregt sein; schwer ums Herz sein.";Sorge, Kummer nagt an j-m;0.0;КОШКИ СКРЕБУТ НА ДУШЕ;koshki skr’ebut na dushe;Cats are scratching on one’s soul.;"To be melancholy, sad, depressed; to be anxious about something.";"To be sick at heart; to have the blues.";0.0
231;КРАЕУГОЛЬНЫЙ КАМЕНЬ;krajeugoljnyj kamenj;Der Eckstein.;"Der wesentliche Teil; die Grundidee, der Ausgangspunkt.";;0.0;КРАЕУГОЛЬНЫЙ КАМЕНЬ;krayeugol’ny kam’en’;A corner-stone.;"Something indispensable, essential, of primary importance; a fundamental idea.";A corner-stone.;1.0
232;КРАСИВЫЙ ЖЕСТ;kraßiwyj sheßt;Eine schöne Geste.;Eine berechnend ausgeführte Handlung, durch die ein guter Eindruck erweckt werden soll.;eine schöne Geste;1.0;КРАСИВЫЙ ЖЕСТ;krasivy zhest;A fine gesture.;A deliberate action intended for effect.;"A fine gesture; beau geste";0.5
233;КРАСНЫЙ КАК РАК;kraßnyj kak rak;Rot wie ein Krebs.;J-d hat intensive Gesichtsröte, besonders durch starke Erregung oder Scham.;krebsrot;1.0;КРАСНЫЙ КАК РАК;krasny kak rak;Red as a lobster.;"Red-faced; flushed with anger or embarrassment.";Red as a lobster.;1.0
234;КРЕПКИЙ ОРЕШЕК;krepkij oreschek;Eine harte Nuß.;Eine schwer lösbare Aufgabe: ein schwer zugänglicher Mensch.;"eine harte Nuß; ein harter Brocken";1.0;КРЕПКИЙ ОРЕШЕК;kr’epky or’eshek;A hard nut.;"A problem that is very hard to solve; a person hard to deal with.";A hard nut to crack;0.5
235;КРИЧАТЬ о чём-либо НА ВСЕХ ПЕРЕКРЁСТКАХ;kritschatj (o tschom-libo) na wßech perekrjoßtkach;Etw. an allen Kreuzungen ausschreien. ;Etw. überall und jedem erzählen, etw. ausposaunen.;etw. in alle Welt posaunen;0.0;КРИЧАТЬ о чём-либо НА ВСЕХ ПЕРЕКРЁСТКАХ;krichat’ na vs’ekh p’er’ekr’ostkakh;To shout about something at all cross-roads.;"To announce something in the most public manner possible; to make something generally known to a wide public; to talk constantly about something.";To cry/shout from the house-tops.;0.0
236;КРОВЬ С МОЛОКОМ;krowj ß molokom;Blut mit Milch.;Ein gesunder Mensch mit prächtiger Gesichtsfarbe.;Milch und Blut;1.0;КРОВЬ С МОЛОКОМ;krov’ s molokom;Blood with milk.;"Someone with fresh complexion, in the best of health; one who looks quite well.";The very picture of health.;0.0
237;КТО В ЛЕС, КТО ПО ДРОВА;kto w leß, kto po drowa;Der eine in den Wald, der andere nach Brennholz.;Unharmonisch, uneinheitlich handeln (meist beim Singen und Musizieren);der eine sagt hü, der andere hott;0.0;КТО В ЛЕС, КТО ПО ДРОВА;kto v l’es kto po drova;Some to the forest, some to gather firewood.;A phrase expressing lack of coordination or harmony (often said of singing or playing musical instruments);;0.0
238;КУДА ВЕТЕР ДУЕТ;kuda weter dujet;Wohin der Wind weht.;Die Meinung unter dem Gesichtspunkt des eigenen materiellen Vorteils ändern.;den Mantel nach dem Wind hängen;0.0;КУДА ВЕТЕР ДУЕТ;kuda v’et’er duyet;Whither the wind is blowing.;"One has no firm convictions; one adapts himself to the prevailing opinions, views, tastes; one avoids taking action or making a decision until he sees which move will be most favourable to himself.";"To see/find out which way the wind blows; to see which way the cat jumps; as changeable as a weathercock.";0.5
239;КУПИТЬ КОТА В МЕШКЕ;kupitj kota w meschke;Den Kater im Sack kaufen.;Etw. erwerben, ohne über dessen Eigenschaften unterrichtet zu sein.;die Katze im Sack kaufen;1.0;КУПИТЬ КОТА В МЕШКЕ;kupit’ kota v m’eshk’e;To buy a cat in a sack;To buy a thing without knowing its real value or quality.;To buy a pig in a poke;0.5
240;КУРАМ НА СМЕХ;kuram na ßmech;Den Hühnern zum Gelächter.;"Unsinnig, absurd; zum Lachen.";da lachen ja die Hühner;0.5;КУРАМ НА СМЕХ;kuram na sm’ekh;For the hens to laugh at.;It’s funny, ridiculous, absurd, silly.;It’s enough to make a cat laugh;0.5
241;КУСАТЬ СЕБЕ ЛОКТИ;kußatj ßebe lokti;Sich in die Ellenbogen beißen.;Sich über einen Mißerfolg ärgern.;;0.0;КУСАТЬ СЕБЕ ЛОКТИ;kusat’ s’eb’e lokti;To bite one’s own elbows.;"To be deeply vexed; to be upset over an irreparable loss of someone or something.";"To cry over spilt milk; to kick oneself over a lost opportunity.";0.0
242;ЛЁГКАЯ РУКА;ljochkaja ruka;Eine leichte Hand.;J-d zeichnet sich durch großes Geschick aus.;eine glückliche Hand haben;0.5;ЛЁГКАЯ РУКА;l’okhkaya ruka;A light hand.;Someone is known to bring luck to any kind of undertaking.;;0.0
243;ЛЁГОК НА ПОДЪЁМ;Ijogok na podjom;Leicht in Schwung.;"J-d kommt leicht in Bewegung; j-d ist schnell entschlossen.";;0.0;ЛЁГОК НА ПОДЪЁМ;l’ogok na pod’yom;Easy on the ascent.;Always ready and willing to go somewhere or do something.;"Quick off the mark; quick on one’s toes.";0.0
244;ЛЁД ТРОНУЛСЯ;ljod tronulßja;Das Eis hat sich bewegt.;Der Anfang ist gemacht.;der Grundstein ist gelegt;0.0;ЛЁД ТРОНУЛСЯ;l’od tronuls’a;The ice has begun to break.;"A beginning has been made; things are moving.";;0.0
245;ЛЕЗТЬ В БУТЫЛКУ;lestj w butylku;In die Flasche kriechen.;Sich grundlos oder wegen einer Bagatelle erzürnen.;auf die Palme gehen;0.0;ЛЕЗТЬ В БУТЫЛКУ;l’ezt’ v butylku;To climb into the bottle.;To be carried away by excitement, to lose self-control, to become suddenly or violently angry (usually without reason, over a mere trifle).;"To fly off the handle; to blow one’s top.";0.0
246;ЛЕЗТЬ В ДУШУ;lestj w duschu;In die Seele kriechen.;Die Gedanken und Gefühle eines anderen aufdringlich zu erkennen versuchen. ;;0.0;ЛЕЗТЬ В ДУШУ;l’ezt’ v dushu;To climb into someone’s soul.;"To try to find out someone’s innermost feelings, thoughts, intentions; to win someone’s favour or confidence.";To worm oneself into someone’s favour/confidence;0.0
247;ЛЕЗТЬ ИЗ КОЖИ ВОН;lestj is koshi won;Aus der Haut kriechen.;"Großen Eifer an den Tag legen; sich sehr bemühen.";alles daransetzen;0.0;ЛЕЗТЬ ИЗ КОЖИ ВОН;l’ezt’ iz kozhy von;To climb out of one’s skin.;"To make a great effort; to do one’s utmost, to try one’s hardest.";"To lean/bend over backwards; to go out of one’s way; to go all out.";0.0
248;ЛИТЬ ВОДУ НА чью-либо МЕЛЬНИЦУ;litj wodu na (tschju-libo) meljnizu;Wasser auf j-s Mühle gießen.;J-n durch eigenes Tun doch gegen den eigenen Willen unterstützen.;das ist Wasser auf j-s Mühle;0.5;ЛИТЬ ВОДУ НА чью-либо МЕЛЬНИЦУ;lit’ vodu na m’el’nitsu;To pour water on someone’s mill-wheel.;Indirectly to help someone (usually an opponent) by one’s actions.;"To play into someone’s hands; to bring grist to someone’s mill.";0.5
249;ЛИТЬ КАК ИЗ ВЕДРА;litj kak is wedra;Wie aus dem Eimer gießen.;Von starkem, strömendem Regen.;es gießt wie aus Kannen;0.5;ЛИТЬ КАК ИЗ ВЕДРА;lit’ kak iz v’edra;To pour as from a pail.;To rain heavily.;It rains cats and dogs;0.0
250;ЛИТЬ КРОКОДИЛОВЫ СЛЁЗЫ;krokodilowy ßljosy;Krokodilstränen vergießen.;Geheuchelte Tränen weinen, geheucheltes Bedauern bekunden. ;Krokodilstränen weinen;0.5;ЛИТЬ КРОКОДИЛОВЫ СЛЁЗЫ;lit’ krokodilovy sl’ozy;To shed crocodile tears.;"To complain hypocritically; to show insincere, false sorrow.";To shed crocodile tears;1.0
251;ЛОВИТЬ НА ЛЕТУ;lowitj na letu;Im Flug auffangen. ;"Begierig lauschen; schnell erfassen; schnell begreifen.";;0.0;ЛОВИТЬ НА ЛЕТУ;lovit na l’etu;To catch something in flight.;"To be quick to comprehend or to learn something; to grasp something easily, at once.";To be quick on the uptake;0.0
252;ЛОВИТЬ кого-либо НА СЛОВЕ;lowitj (kowo-llbo) na ßlowe;J-n beim Wort ertappen.;Von j-m erwarten, daß er das tut, was er versprochen hat.;j-n beim Wort nehmen;0.0;ЛОВИТЬ кого-либо НА СЛОВЕ;lovit’ na slove;To catch one at one’s word.;To make someone do or promise to do what he said he would do.;To take someone at his word.;0.0
253;ЛОВИТЬ РЫБУ В МУТНОЙ ВОДЕ;lowitj rybu w mutnoj wode;Einen Fisch im trüben Wasser fangen.;"Seinen Vorteil aus j-s Bemühungen ziehen; unklare Umstände zum eigenen Vorteil ausnützen.";im Trüben fischen;0.5;ЛОВИТЬ РЫБУ В МУТНОЙ ВОДЕ;lovit’ rybu v mutnoy vod’e;To catch fish in turbid water.;"To try to benefit from other people’s troubles; to try to gain advantage for oneself from a disturbed state of affairs; to try to make a calamity by means of personal gain.";To fish in troubled waters;0.5
254;ЛОМАТЬ ГОЛОВУ над чем-либо;lomatj golowu (nad tschem-libo);Den Kopf über etw. zerbrechen.;"Angestrengt nachdenken; etw. Kompliziertes verstehen wollen.";sich den Kopf über etw. zerbrechen;1.0;ЛОМАТЬ ГОЛОВУ над чем-либо;lomat’ golovu;To break one’s head over something.;To think hard, especially on a difficult problem.;"To rack/cudgel one’s brains over something; to break one’s head over something.";1.0
255;ЛОМАТЬ КОПЬЯ;lomatj kopja;Lanzen zerbrechen.;"Um etw. kämpfen; hitzig wegen etw. streiten.";;0.0;ЛОМАТЬ КОПЬЯ;lomat’ kop’ya;To break spears.;"To fight for something; to argue heatedly.";"To break a lance with someone over something; to cross swords.";1.0
256;ЛОМИТЬСЯ В ОТКРЫТУЮ ДВЕРЬ;lomitza w otkrytuju dwerj;Gewaltsam durch eine offene Tür eindringen.;Etw. behaupten, was niemand bezweifelt.;offene Türen einrennen;0.5;ЛОМИТЬСЯ В ОТКРЫТУЮ ДВЕРЬ;lomittsa v otkrytuyu dv’er’;To break through an open door.;To assert or try to prove something already well-known and undisputed.;To force at/knock at an open door.;1.0
257;ЛОПНУТЬ КАК МЫЛЬНЫЙ ПУЗЫРЬ;lopnutj kak myljnyj pusyrj;Wie eine Seifenblase zerplatzen.;Etw. das keiner ernsten Prüfung standhält.;wie eine Seifenblase zerplatzen;1.0;ЛОПНУТЬ КАК МЫЛЬНЫЙ ПУЗЫРЬ;lopnut’ kak myl’ny puzyr’;To burst like a soap-bubble.;Said of something that proves to be unstable, ephemeral or easily destroyed.;;0.0
258;МАСТЕР НА ВСЕ РУКИ;maßter na wße ruki;Ein Meister in allen Händen.;Ein vielseitiger, sehr geschickter Mensch.;;0.0;МАСТЕР НА ВСЕ РУКИ;mast’er na vs’e ruki;A master at all hands.;"To be good at anything one undertakes; to show talent in anything one turns his hand to; a versatile worker.";A jack-of-all-trades;0.0
259;МАХНУТЬ РУКОЙ;machnutj rukoj;Mit der Hand abwinken.;Auf etw. verzichten, etw. aufgeben;;0.0;МАХНУТЬ РУКОЙ;makhnut’ rukoy;To wave one’s hand at something or someone.;"To stop doing something or dealing with someone; not to care what happens; to give something up as a lost or hopeless cause.";;0.0
260;МЕДВЕДЬ НА УХО НАСТУПИЛ;medwedj na ucho naßtupil;Der Bär ist j-m aufs Ohr getreten.;J-d hat absolut kein musikalisches Gehör.;;0.0;МЕДВЕДЬ НА УХО НАСТУПИЛ;m’edv’ed’ na ukho nastupil;A bear stepped on someone’s ear.;"Someone has no ear for music; someone is quite tone-deaf.";;0.0
261;МЕДВЕЖЬЯ УСЛУГА;medweshja ußluga;Ein Bärendienst.;"Ungeschickte Hilfe; ein ungewollt schlechter, zweifelhafter Dienst.";ein Bärendienst;1.0;МЕДВЕЖЬЯ УСЛУГА;m’edv’ezh’ya usluga;A bear’s service.;"A well-meant action having the opposite effect; clumsy assistance causing only more problems; a dubious benefit conferred on someone; a disservice.";;0.0
262;МЕНЯТЬ КУКУШКУ НА ЯСТРЕБА;menjatj kukuschku na jaßtreba;Einen Kuckuck gegen einen Habicht tauschen.;Einen schlechten Tausch machen, sich in seinen Berechnungen irren.;;0.0;МЕНЯТЬ КУКУШКУ НА ЯСТРЕБА;m’en’at’ kukushku na yastr’eba;To exchange a cuckoo for a hawk.;"To select the worst from among the worse; to be out of one’s reckoning; to miscalculate.";To back the wrong horse.;0.0
263;МЕРИТЬ НА СВОЙ АРШИН;meritj na swoj arschin;Nach dem eigenen Arschin (altes russisches Längenmaß, 71,1 cm) messen.;Über alle nur nach den eigenen Vorstellungen urteilen.;mit eigenem Maßstab messen;0.0;МЕРИТЬ НА СВОЙ АРШИН;m’erit’ na svoy arshyn;To measure by one’s own arshin.;"To judge others by oneself; to apply one’s own standard to others.";To measure another’s corn by one’s own bushel;0.0
264;МЕТАТЬ ГРОМЫ И МОЛНИИ;metatj gromy i molnii;Donner und Blitze schleudern.;"J-n streng rügen; j-n zornig und erregt  beschuldigen.";Gift und Galle speien;0.0;МЕТАТЬ ГРОМЫ И МОЛНИИ;m’etat’ gromy i molnii;To fling thunder and lightning.;To rage, to fulminate, to speak with threats and anger.;"To rant and rave; to hurl thunderbolts; to blow one’s top.";0.5
265;МИР ТЕСЕН;mir teßen;Die Welt ist klein.;überall kann man unerwartet Bekannten begegnen.;die Welt ist ein Dorf;0.0;МИР ТЕСЕН;mir t’es’en;The world is cramped.;You may unexpectedly run across a person you know anywhere.;It’s a small world.;0.0
266;МНОГО ВОДЫ УТЕКЛО;mnogo wody uteklo;Viel Wasser ist (seither) geflossen. ;Viel Zeit ist vergangen: es hat sich viel geändert;seitdem ist schon viel Wasser hinuntergeflossen;1.0;МНОГО ВОДЫ УТЕКЛО;mnogo vody ut’eklo;Much water has flowed away.;"That was long ago; much has happened since; much has changed since.";A lot of water has flowed under the bridge since;0.0
267;МОРЕ ПО КОЛЕНО;more po koleno;Das Meer ist knietief.;J-d fürchtet sich vor nichts.;;0.0;МОРЕ ПО КОЛЕНО;mor’e po kol’eno;The sea is knee-deep.;"One is unconcerned; one couldn’t care less; one is absolutely reckless.";Devil-may-care;0.0
268;МОТАТЬ СЕБЕ НА УС;motatj ßebe na uß;Sich etw. in den Schnurrbart wickeln.;Sich etw. gut merken.;sich etw. hinter die Ohren schreiben;0.0;МОТАТЬ СЕБЕ НА УС;motat s’eb’e na us;To wind something on one’s moustache;"To observe something silently; to make a mental note of something.";Bite on that;0.0
269;МОЯ ХАТА С КРАЮ;moja chata ß kraju;Meine Hütte steht am Rande (des Ortes).;"Das geht mich nichts an; ich weiß von nichts.";mein Name ist Hase;0.0;МОЯ ХАТА С КРАЮ;moya khata s krayu;My hut is on the periphery.;"This has nothing to do with me; it’s no business/concern of mine.";;0.0
270;МУРАШКИ БЕГАЮТ ПО СПИНЕ;muraschki begajut po ßpine;Ameisen laufen j-m über den Rücken.;"J-n überläuft ein Schauder; j-d hat Schüttelfrost (vor Angst, Erregung).";es läuft j-m kalt über den Rücken;0.5;МУРАШКИ БЕГАЮТ ПО СПИНЕ;murashki b’egayut po spin’e;Little ants run along one’s back.;One feels shivery due to fear, horror, or nervous excitement.;"To give one the creeps; to make one’s flesh creep; to feel chills run up and down one’s spine.";1.0
271;МУТИТЬ ВОДУ;mutitj wodu;Das Wasser trüben.;Etw. vorsätzlich stören, etw. durcheinanderbringen.;;0.0;МУТИТЬ ВОДУ;mutit’ vodu;To muddy the water.;"To deliberately muddle matters; to stir up trouble; to confuse things.";;0.0
272;МУХИ НЕ ОБИДИТ;muchi ne obidit;Er beleidigt keine Fliege.;Ein ruhiger, gutmütiger Mensch.;er tut keiner Fliege etw. zuleide;0.5;МУХИ НЕ ОБИДИТ;mukhi n’e obidit;He/she wouldn’t hurt a fly.;He/she is meek, timid, gentle, kind.;"He wouldn’t hurt, harm a fly; he won’t say ’boo’ to a goose.";1.0
273;МЫШИНАЯ ВОЗНЯ;myschinaja wosnja;Mäusespektakel. ;Kleinliche, nichtige Scherereien.;;0.0;МЫШИНАЯ ВОЗНЯ;myshynaya vozn’a;Mice’s fussing.;Pointless fussing over trifles.;;0.0
274;НАБИТЬ РУКУ;nabitj ruku;Schwielen an der Hand bekommen.;Fertigkeit. Geschick in etw. erlangen.;;0.0;НАБИТЬ РУКУ;nabit’ ruku;To strengthen one’s hand.;"To practice so as to acquire skill, to develop a good technique in something; to become a practiced hand at something; to give oneself a steady hand.";To get the knack of something;0.0
275;НАБРАТЬ В РОТ ВОДЫ;nabratj w rot wody;Wasser in den Mund nehmen.;Stillschweigen bewahren.;"stumm wie ein Fisch sein; ein Schloß vor dem Mund haben";0.0;НАБРАТЬ В РОТ ВОДЫ;nabrat’ v rot vody;To fill one’s mouth with water.;"To remain silent; not to utter a word.";To keep mum;0.0
276;НА ВЕС ЗОЛОТА;na weß soIota;Etw. wird mit Gold aufgewogen.;Sehr kostbar, sehr teuer.;das ist Goldes wert;0.5;НА ВЕС ЗОЛОТА;na v’es zolota;Worth its weight in gold.;Someone or something is extremely valuable or useful.;To be worth one’s/its weight in gold;0.5
277;НАВОСТРИТЬ ЛЫЖИ;nawoßtritj lyshi;Die Schier spitzen.;"Die Absicht haben davonzulaufen; fortlaufen.";sich auf und davon machen;0.0;НАВОСТРИТЬ ЛЫЖИ;navostrit’ lýzhy;To sharpen the skis.;To flee, to run away.;"To take to one’s heels; to show a clean pair of heels.";0.0
